name             mass   hi      lo
"4U 1700-37"      2.44   0.27    0.27
"Vela X-1"       1.86   0.32    0.32
"Her X-1"        1.47   0.23    0.37
"4U 1538-52"      1.06   0.41    0.34
"Cen X-3"        1.21   0.21    0.21
"LMC X-1"        1.47   0.44    0.39
"SMC X-1"        1.17   0.36    0.32
"J0045-7319"     1.58   0.34    0.34
"B1855+09"       1.41   0.10    0.10
"B1802-07"       1.26   0.08    0.17
"J1713+0747"     1.34   0.20    0.20
"J1012+5307"     1.7    0.5     0.5
"J1518+4904 (P)" 1.56   0.13    0.44
"J1518+4904 (C)" 1.05   0.45    0.11
"B2303+46 (P)"   1.30   0.13    0.46
"B2303+46 (C)"   1.34   0.47    0.13
"B2127+11 (P)"   1.349  0.040   0.040
"B2127+11 (C)"   1.363  0.040   0.040 
"B1534+12 (P)"   1.339  0.003   0.003
"B1534+12 (C)"   1.339  0.003   0.003
"B1913+16 (P)"   1.4411 0.00035 0.00035
"B1913+16 (C)"   1.3874 0.00035 0.00035
