date     passage        err
1974.77  2331.4461316   0.0000008
1974.93  2389.5856753   0.0000007
1976.13  2826.9242544   0.0000024
1976.93  3118.5909684   0.0000006
1977.58  3356.6401037   0.0000005
1977.96  3493.5910317   0.0000003
1978.23  3593.3972490   0.0000003
1978.42  3663.4877010   0.0000007
1978.82  3807.5445713   0.0000005
1979.31  3988.4231535   0.0000003
1980.10  4276.5368958   0.0000003
1980.59  4454.5085004   0.0000009
1980.59  4455.4774930   0.0000003
1981.14  4656.3819172   0.0000002

